address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
491 Park Pl Apt 3F,NYC,1,1,Brooklyn,"This charming one-bedroom condominium is replete with beautiful southern light, exposed brick walls, and soaring 10 foot ceilings. The open windowed kitchen features a gorgeous combination of white shaker upper cabinets paired with teak wood veneer base cabinetry. Neutral Corian countertops gleam in the sunlight against a Carrara white porcelain subway tiled backsplash. More storage space can be found in the matching island that doubles as a breakfast bar. Appliances are all stainless steel and include a convenient dishwasher drawer.Recent bathroom upgrades include all new clean white tiles, new vanity and mirrored medicine cabinet, lighting, Toto toilet and Kohler fixtures. The spacious bedroom includes custom Elfa shelving. A brand new in-unit washer and dryer adds to the convenience. Common storage units and bike storage are available on the premises. Pets are welcome in the building as well. 491 Park Place is a professionally managed condominium.At the cusp of Prospect Heights and Crown Heights, 491 Park Place stands on a mature tree-lined street. Located across from a newly renovated Stroud Playground which includes a children's playground, exercise equipment and a track and field area. The enclave is flanked by two thriving retail corridors - Washington and Classon Avenues where coffee bars, shopping, playgrounds, green space, and destination restaurants and nightlife abound. At the center of world-class cultural destinations, 491 Park is just a few blocks from the Brooklyn Museum, Brooklyn Botanical Gardens, Grand Army Plaza and Prospect Park. Enjoy artisanal brick oven pizza at Ogliastro's under their sprawling tree-canopied outdoor dining deck. Sip curated cocktails at award-winning Olmsted. Or, take in the historic Victorian brownstones that surround you. 491 Park is within close proximity to the 2, 3, 4, 5 and S train lines for easy and direct connectivity to Manhattan and beyond.",,529000,Co-op,401,NY,1251,1251,1438,1478,1166,1930,11238
438 W 49th St Apt 1A,NYC,1,1,New York,"438 West 49th Street:-Co-op-Subleasing allowed after 4 years, unlimited with board approval-Bike and private storage-Pets allowed (1 dog under 25lbs)_________________________________________This Hell's Kitchen one-bedroom, one-bathroom is the perfect full-time home or pied--terre in one of Manhattan's most exciting and accessible neighborhoods.The co-op apartment features a spacious living room accented by a ceiling fan and exposed brick. The adjacent open kitchen is well-equipped with ample cabinetry and stainless steel appliances, including a gas range, dishwasher and built-in microwave. Enjoy an oversized bathroom featuring floor-to-ceiling tile, a pedestal sink and a large tub/shower while the rear-facing bedroom offers a roomy closet and two windows.438 West 49th Street is a boutique walk-up cooperative where residents enjoy central laundry plus personal and bike storage at an additional charge. Flexible board policies permit pets under 25 pounds, pieds--terre, parents buying for children, co-purchases, gifting and unlimited leasing after four years of owner occupancy.Nestled on a tree-lined block in vibrant Hell's Kitchen/Midtown West, this home is surrounded by fantastic dining, nightlife, entertainment, shopping and open space. The Theater District unfolds right outside your door, and Hudson River and Central Park provide acres of outdoor recreation. Make a beeline a few blocks south to The High Line, Hudson Yards and Manhattan West, and travel the city with ease thanks to A/C/E, 1, N/R/W and B/D trains all nearby.",,395000,Co-op,,NY,,,,,,1910,10019
629 Kappock St Apt 5A,NYC,1,2,New York,"DESCRIPTION TO FOLLOW - CHECK BACK SHORTLY DUE TO THE COVID-19 OUTBREAK, ALL OUR IN-PERSON SHOWINGS ARE BY ADVANCE APPOINTMENT ONLY UNTIL FURTHER NOTICE. TO PREVENT FURTHER SPREAD, WE ASK YOU TO REQUEST A VIRTUAL TOUR AND TO GET PREQUALIFIED FOR A MORTGAGE BEFORE SCHEDULING A PHYSICAL VISIT. TO PROTECT YOURSELF AND OTHERS, PLEASE AVOID VISITING OUR PROPERTIES IF YOU HAVE ANY REASON TO THINK THAT YOU HAVE BEEN INFECTED, AND MAKE SURE TO WEAR PROPER PPE AT ALL TIMES. WE THANK YOU FOR YOUR SUPPORT AND UNDERSTANDING! Bonnie Crest is a beautifully maintained 6-story postwar co-op in the Spuyten Duyvil section of South Riverdale, conveniently located within easy access to MetroNorth, express buses to midtown, local bus to the subway (1 local), and to all major highways. The answers to your basic shopping needs can be found just steps away at Knolls Crescent, and the Johnson Avenue village with its various stores and restaurants is within just a short walk. Other nearby amenities include the Club of Riverdale spa/fitness center and lovely parks. Sorry, no dogs allowed. EXCLUSIVE AGENT: ACCESS PROPERTY GROUP, INC.",,289000,Co-op,,NY,,,,,,1955,10463
271 Doane Ave,NYC,2,3,Staten Island,"GREAT LOCATION 1 FAMILY SEMI-ATTACHED HOUSE IN GREAT KILLS.IT FEATURES LARGE LIVING ROOM WITH BALCONY, FULL EAT IN KITCHEN WITH SLIDERS TO THE HUGE DECK.3 BEDROOMS, 2 FULL BATH, VERY SPACIOUS, OAK FLOORS.CLOSE TO SCHOOL, MALL AND EXPRESS BUS. 1ST FL- ELEGANT LR/DR, EIK W/ PORCELIAN TILE FLR&DR TO YD W/DECK. 2ND FL- BR, BR, BR, FULL BATH W/TILE UP WALLS, ORGANIZER CLOSET. BASEMENT: FINISHED BSMT , BATH, LAUNDRY ROOM, UTILITY ROOM, PLET OF STORAGE. ATTIC- CRAWL SPACE W/ ATTIC FAN.",,649999,Townhomes,1380,NY,4208,4320,4705,5443,5513,1977,10308
2536 E 1st St Apt 101,NYC,2.5,2,Brooklyn,"GRAVESEND Brooklyn NY 11223. EXCELLENT LOCATION. BEAUTIFUL COZY 2 BED DUPLEX CONDO WITH RECREATION AREA. HARD WOOD & TILE FLOOR. GRANITE COUNTER TOPS. ANDERSON WINDOWS. MOVE IN CONDITION. FIRST FLOOR: 2 BEDS (MASTER SUITE) 2 FULL BATHS, LIVING ROOM AND OPEN KITCHEN. BASEMENT: FAMILY ROOM/RECREATION., HUGE CLOSET, HALF BATH, WASHER AND DRYER HOOKUP. SEPARATE ENTRANCE. APPROX 9 YEARS TAX ABATEMENT LEFT. LOW MAINTENANCE FEE $289.01/PER MONTH, PROPERTY TAX $491.00 PER YEAR. ONE PARKING SPOT IS INCLUDED. CLOSE TO F, Q AND B TRAINS, SHOPPING, SCHOOL, CONEY ISLAND HOSPITAL AND BELT PARKWAY Wilk Real Estate",1,695000,Condos,1325,NY,449,459,468,481,481,2012,11223
439 E 88th St Apt 5D,NYC,1,,New York,"Beautiful move-in ready, fully RENOVATED studio apartment with low monthlies in a quiet, secure building on the Upper East Side. This is the perfect starter apartment for someone who loves having all of the city's options right outside their doorstep yet wants to be in a quiet well-maintained neighborhood like the Upper East Side. The apartment comes equipped with custom built-in wall cabinets and a modern Murphy bed build-out to maximize the living and dining area. There is a double closet as soon as you walk in, along with a second double sliding door closet AND additional free, locked storage in the building. The kitchen has been completely updated and remodeled with an extra large counter for entertaining your favorite guests. The live-in super and keyed access for the entrance and elevator ensures ultimate security for guests and packages. Come start your NYC dream here!",,445000,Co-op,,NY,,,,,,1951,10128
380 Riverside Dr Apt 7L,NYC,1,1,Manhattan,"This high floor apartment is beaming with natural light, historical details and has restored original wood beam 10 ft ceilings, a large bay window with original stained glass and hardwood floors throughout.  The layout is ideal for entertaining & has a nice flow. The apartment also features a generous entry foyer, windowed kitchen & bath, a walk-in closet, and additional storage. One of the best kept secrets in Manhattan, 380 Riverside Drive is defined by its white marble entry, stone carvings and a stunning tower forming its distinctive silhouette overlooking the beautiful Riverside Park. The building has immediate access to great restaurants, shopping, transportation and quite a bit of New York history.  Formally known as the Hendrick Hudson, this full service prewar building built in 1907 and designed by architects Rouse & Sloan, reflects the lifestyle and character unique to Manhattan's Upper West Side. The building  has 24-Hour Doorman, Coop-owned parking garage, laundry room, bike room, storage room, and live-in Super and is pet friendly. This is the ultimate in luxury living.   Seeing is believing!",,675000,Co-op,,NY,,,,,,,10025
3401 Avenue P,NYC,2,3,Brooklyn,"Welcome to this charming 1 family home located at the corner of comfort and convenience. We are pleased to offer this three-bedroom, two bath, fully detached, sun-drenched duplex with stunning side and back yards. Meticulously maintained and smartly updated, you enter into an open living room with bright bay windows. A nicely appointed dining room with hardwood floors flows right into the kitchen, updated with Corian countertops. On the second level you'll find 3 bedrooms with a well-kept full bathroom. A finished basement with a three-quarter bath and a separate workshop/storage room rounds out the interior. Home features a brand-new steam boiler. Ductless split-unit air conditioning with 4 heads, one can be found on the main floor and one in each bedroom. The large and gorgeous backyard, perfect for entertaining or relaxing boasts healthy, well-established flora. Close to retail establishments on Quentin Road, mass transit, schools, and houses of worship. Call today for an appointment to visit!",,739000,Single Family Home,1036,NY,4002,4361,4500,4620,4928,1940,11234
20 Appleby Ave # 10305,NYC,,,Staten Island,"We are currently ONLY entertaining offers on our properties as we are inundated with interested parties.. Please do submit offers in writing via email. Please be sure to have the address and offer amount on the email Offers are reviewed by the selling party of the property and not the bank. This is NOT a REO. NOTE: We are contracted by the seller and do not advise regarding offers. Access is ONLY provided when an offer is accepted, buyers will be given a due diligence period in which they will have a chance to expedite a contract for submission to the bank where we will then require proof of funds and other documents the bank needs to expedite the shortsale.",,750000,Single Family Home,2112,NY,,,,,,1930,10305
49 W 12th St Apt 5E,NYC,1,1,Manhattan,"Lovely south-facing move-in condition one bedroom one bath apartment in full service co-op on one of the prettiest blocks in Greenwich Village. Upon entering the apartment you can enjoy beautiful tree top views from the spacious living room which has been tastefully divided to include a separate office/den. The kitchen is complete with stainless appliances including a Liebherr refrigerator and GE Monogram dishwasher, glass front cabinets, stone backsplash, and plenty of counter space for preparing meals or sitting on a stool to enjoy a casual meal or snack. The generous sized bedroom has lots of closet space and both south and east facing windows assure excellent light as well as a charming view. The bathroom is immaculate and even includes a vanity with extra storage space.  49 West 12th has a full time doorman, live-in superintendent, bike room, laundry, and planted roof deck with spectacular full city views. Conveniently located for shopping, terrific restaurants, Union Square Farmers Market and transportation.",,1150000,Co-op,,NY,,,,,,,10011
90 Hudson St # A,NYC,2,2,Manhattan,"A sun drenched corner co-op with period charm and a private outdoor space with sweeping city views. This is  rare opportunity to own a  loft-like 2-bedroom, 2-bathroom home  in the heart of Tribeca. Features of the apartment include gorgeous hardwood floors, whitewashed exposed brick walls, sash windows with arched openings and north east exposure, central cooling, a sun room, an in-home washer/dryer, and a lovely spiral staircase.  A tasteful foyer and entry hall adorned with a full bathroom and a large coat closet, the home flows into an expansive living and dining space saturated with natural light. A windowed eat-in kitchen sits just off the dining area and is equipped with a suite of high-end appliances.  The master bedroom includes a pair of large reach-in closets, northeastern exposure, and a private en-suite bathroom. The second bedroom has its own closet space and easy access to the homes second full bathroom. A quiet sun room/den opens out onto an incredible rooftop deck furnished with lounge furniture and lush planters. The rooftop deck boasts views of the Freedom Tower and open views of the surrounding neighborhood.  90 Hudson Street is a prewar co-op located in Tribeca. The building has a key- locked elevator, a full-time super, a bicycle room, and private storage. It is surrounded by restaurants, bars, cafes, and shops, and is just a short walk to Whole Foods, Rockefeller Park, the Hudson River Greenway, Pier 25, One World Trade Center, and Brookfield Place. Nearby subway lines include the A/C/E/N/Q/R/W/J/Z/1/2/6. Pets are welcome.",,2750000,Co-op,,NY,,,,,,,10013
398 Amboy St,NYC,,,Brooklyn,"We are currently ONLY entertaining offers on our properties as we are inundated with interested parties.. Please do submit offers in writing via email. Please be sure to have the address and offer amount on the email Offers are reviewed by the selling party of the property and not the bank. This is NOT a REO. NOTE: We are contracted by the seller and do not advise regarding offers. Access is ONLY provided when an offer is accepted, buyers will be given a due diligence period in which they will have a chance to expedite a contract for submission to the bank where we will then require proof of funds and other documents the bank needs to expedite the shortsale.",,525000,Multi-Family Home,1879,NY,3606,3897,4152,4255,4255,1930,11212
160 Llewellyn Pl,NYC,2,,Staten Island,"Great investment property or as primary use! 2 family w. private driveway. Each floor has been fully renovated and is in pristine condition. 15x45 by 24X102. 2 Bedrooms over 2 Bedrooms and a finished basement w an additional home office, wet bar, and full bath! The current rent roll is 44k with a net cap rate of approx 6% Property has 3 electric meters and 2 gas meters! You can live here and the house will pay for itself! Great area, close to all!",,648000,Multi-Family Home,1300,NY,3856,4204,4309,4454,4752,1999,10310
30 Notus Ave,NYC,3.5,4,Staten Island,"Beautiful, oversized home in the heart of the Annadale section of Staten Island. Located on a quiet, tree-lined street just off Annadale Road, this home is in move-in condition. Featuring three large bedrooms on the top floor, including a master suite with a private full bathroom and a walk-in closet. There is an oversized living room/dining room, a large eat-in kitchen and a half bath conveniently located just off the kitchen. Also included in this amazing home is a large enclosed outdoor patio deck, just off the kitchen, allowing you to enjoy the outdoors. There is access to the yard from the patio. The yard is backed up to city green property, which means complete privacy. You can also enjoy the converted fourth bedroom suite located on the lower level, which features a three-quarter bathroom, a small living room and bedroom area. This would be ideal for a family member that wants to live with you and still maintain their privacy. There is also a one car garage that can be used for parking or additional storage. Located within minutes of the Richmond Ave shopping district, including the Staten Island Mall, Target, Stop and Shop, Costco and much more. Access to Manhattan busses located just down the street.Matterport 3D Virtual Tour available, click the link in this post. To schedule an appointment, please contact the listing agent directly .",1,669995,Townhomes,2150,NY,3915,4267,4647,5076,5129,1995,10312
193 Burning Tree Dr,San Jose,2,3,San Jose,"MOVE IN ready. Lovely Home is located in Desirable, Quaint neighborhood. Close to HWY 101 & 85. Great for Commuters. Close to Santa Teresa Park, the Foothills, Golf Club & Baldwin Elementary School. Fresh Paint throughout entire Home, (Interior & Exterior). Vaulted Ceilings in Living Rm & Open Kitchen. Rustic Wood Mantle over Fireplace. Kitchen Completely Remodeled, Newer Wood Cabinetry, Counter Tops & Laminate Flooring. Extra Large Kitchen/Dining Rm combo. Double Pain Windows throughout Home. Sliding Glass door leads to enclosed BONUS/SUN Rm, apprx. 360 sq ft. Updated HVAC system. Carpet Living Rm, Hallways & Bedrooms. Spacious Walk in closets. Both bathrooms have updated Shower's & Tub. Great storage with Additional Cabinets in main hallway. Unique overhead lighting in Hallway which doubles as Attic Access with built in swivel lighting. Crawl space access is located in entryway closet. Indoor Laundry rm. 20x20 Shed/Workshop Inc.",2,1098000,Single Family Home,1418,CA,1753,1882,1976,2013,2054,1970,95119
1285 Bryan Ave,San Jose,2,3,San Jose,"Beautiful home situated on a large lot in a lovely Cambrian neighborhood. Currently a three bedroom with the possibility of converting it to a 4 bedroom. Home also offers the possibility of adding closet space to the master bedroom and currently has multiple sheds for ample storage possibilities. Awesome kitchen overlooking the living room and backyard. Kitchen includes maple cabinets, granite counter tops on both perimeter and island areas, natural stone floor and a large skylight to provide ample light. Inviting and relaxing living room includes large sliding door to the backyard, skylight and a gas fireplace. Large backyard is great for relaxing or entertaining and includes a large covered patio area, grass area and still room for multiple areas for flower or vegetable gardens. Beautiful hall and master baths with quality materials.. Home also includes beautifully landscaped front yard, crown molding, bamboo floor in master, natural stone floors and more, Beautiful inside and out",2,1338500,Single Family Home,1516,CA,5563,5610,5768,5825,5898,1959,95118
3087 Marston Way,San Jose,3,4,San Jose,"Stunning Evergreen Hills home with expansive views. Spacious, bright and updated throughout. Enjoy 4 bedrooms, 3 bathrooms, spacious living area with vaulted ceilings & master suite with sitting area and views. Downstairs office/bedroom for a convenient work from home environment. The large backyard with new landscaping is the perfect setting for entertaining guests or enjoying a quiet night watching the sunset over the Valley. Highly sought after Evergreen Schools nearby including Evergreen Valley High, Quimby Oak Middle and Carolyn A. Clark Elementary. A must see home!",3,1399000,Single Family Home,2106,CA,4811,4881,5117,5205,5376,1983,95148
970 Dry Creek Rd,San Jose,2,3,Campbell,"Turnkey luxury on one of the South Bay's most coveted streets. Tranquil resort like retreat on a quarter-acre estate. Excellent location - Pruneyard, freeways, schools, and vibrant downtown Campbell. Comprehensively remodeled mid-century modern offering all the aesthetic charm of an Eichler-style design without Eichler's quirks. Enter through a spacious courtyard with patio. Floor-to-ceiling dual pane windows for natural light and views of the vast backyard landscaping, creating the coveted indoor-outdoor living. No detail spared, tasteful to-the-stud remodel with high-end upgrades. Spacious open floorplan. Contemporary eat-in kitchen with stainless appliances, oversized island. New central AC/heat. Copper plumbing, new electrical, smart thermostat, smart lock, an oversized garage with 220v EV charging, and too many others to list. Desirable Cambrian/Campbell Schools. City guidelines allows adding up to 1200 sqft 2 bd, 2 bath detached Granny unit/ADU on this massive lot, buyer verify.",2,1488888,Single Family Home,1684,CA,9930,10068,13612,14064,14459,1963,95008
1068 Bigleaf Pl Unit 404,San Jose,2.5,4,San Jose,"Welcome to 1068 Bigleaf #404, a Silicon Valley Penthouse built in 2016 that defines modern luxury living. This stunning home offers 4 bed 2.5 bath 2147 sq/ft of living space, an open floor plan, quartz counter tops, Bosch appliances, recessed lighting, hardwood flooring, den/office, and large master suite with walk in closet, walk in shower, bathtub and dual vanities. Enjoy the penthouse views and beautiful California weather from the large balcony. Attached 2 car garage, separate storage locker, secure entrances and private elevator that brings you directly to your front door. The home is centrally located with great access to highways 880, 101, and the new Bart Station. Sitting just steps from the great shops and restaurants at the neighboring shopping center including: Sprouts Farmers Market, HomeGoods, Obu Ramen House, The Kebab Shop, MOD Pizza and so much more! Schedule a private tour and see everything this home has to offer for yourself. This property is not to be missed!",2,1199000,Condo/Townhome/Row Home/Co-Op,2147,CA,,,13919,14125,14264,2016,95131
5192 Emiline Dr,San Jose,2,3,San Jose,"Modern Farmhouse Feel w/Inviting Porch, (3) Bedrooms, (2) Bathrooms & Large 6, 442 +/- Sq Ft Lot in Beautiful Cambrian Bordering Los Gatos. Desirable Light Filled Floor Plan Offers 1, 276 +/- Sq Ft of Living Space w/Remodeled Kitchen Boasting White Cabinetry, Granite Counter Tops, Tiled Backsplash, Breakfast Bar, Large Tile Flooring & SS Appliances. Enjoy the Expansive Open Living Room & Dining Area w/Gorgeous Newly Refinished Hardwood Flooring, Remodeled Bathrooms w/Quartz Counter Tops & Wood Vanities, New Modern Interior & Exterior Paint, Brushed Nickel Light Fixtures & Door Handles, DP Windows, Indoor Laundry, Central Heat & A/C, Wood Burning Fireplace, Copper Supply Lines & Paid Solar Panels. Generous Front Yard w/Picket Fence & Room for Expansion. Entertain or Relax in the Spacious Backyard w/Patio, Lush Lawn for Play, New Landscaping, Mature Trees & Sizable Storage Unit - Perfect for a Potential Future Office! Award Winning Schools: Alta Vista Elementary, Union Middle & Leigh High!",2,1188000,Single Family Home,1276,CA,10224,10389,10898,11042,11322,1959,95124
3572 Corsica Ct,San Jose,4.5,6,San Jose,"Luxury Home in Evergreen with $130, 000 upgraded from builder !! A+ SHOOLS !! Living featuring high soaring ceilings, open-floor plan with an impressive living room, formal dining room , family room with a full bar Six large bedroom suites with 4.5 baths, huge gourmet kitchen, top of the line appliances, two fireplaces Wide hallways, custom paint, custom molding, hardwood flooring. Large master bedroom with vaulted ceiling, oversized walk-in closet and granite slab and jacuzzi tub. Large kitchen offers plenty of cabinets with granite counter tops and matching backslash Central vacuum & intercom systems The well-kept and low maintenance backyard and front yard Near Schools, shopping center , super markets , restaurant and much more ...",3,2589000,Single Family Home,4089,CA,20534,22255,23332,23642,23813,2004,95148
4044 Moreland Way,San Jose,1,2,San Jose,"Charming West Campbell Home with excellent schools. Move in ready, on an oversized lot ideal for expansion. Open living room with large picture window. Eating area open to kitchen. Office/pantry/utility room off kitchen. Step down family room with wood burning fireplace, newly carpeted. Updated bath, pedestal sink, tiled shower/tub. Laminate floors in living room & bedrooms. Oversized bedrooms with ample closet space. Double pane windows, newly painted inside and out, central heating and A/C, solid wood doors throughout. Spacious yard, features, concrete patio area, storage shed, RV/Boat parking, detached carport, fruit trees including lemon, lime, apple, grapefruit. Endless opportunities with potential for remodel, expansion or ready for you to call home!",,1348800,Single Family Home,1509,CA,3073,3111,3398,3448,3536,1952,95130
3013 Harvest Moon Ct,San Jose,3,4,San Jose,"Very beautiful, 2 stories, 7 years new home, corner lot, with 4 bedrooms and 3 baths. 1 bedroom and 1 bath downstair, and 2 car garage in desirable family neighborhood with excellent Evergreen schools area: Evergreen Elementary, Chaboya and EV High School. Very convenient for Freeway and shopping centers, Evergreen Village Square, Montgomery Hill Park, playgrounds & walking trails. Home is still new and is ready for moving in condition.",2,1550000,Single Family Home,2159,CA,13462,13643,14300,14537,14674,2013,95135
1631 Babero Ave,San Jose,3,3,San Jose,"Beautifully Remodeled w/ 3 Bedrooms 2 Baths apx. 1, 140 ftÂ² PLUS A Detached Accessory Dwelling Unit (ADU) w/ Additional Kitchen & Bath apx. 365 ftÂ²! This one is not to miss w/ tons of newer improvements featuring a light & bright floor plan w/ bi-folding doors, European white oak floors, marble backsplash & Carrera granite countertops accompanied by stainless steel appliances in the kitchen. The primary bedroom includes an ensuite bath complete w/ built-in cabinets, dual sinks, frameless glass shower enclosure w/ rain shower head, & stylish tiles. Pride of ownership continues on with newer electrical, plumbing, interior paint, exterior stucco, windows, roof, pavers in the backyard, manicured front & rear landscaping, & so much more! Conveniently located near distinguished San Jose schools, Kirk Park featuring apx. 4.5 acres, Hacienda Gardens & Foxworthy Shopping Center, Highways 17/85/87/280, Silicon Valley tech companies, & an abundance of stores & eateries!",,1198000,Single Family Home,1505,CA,1690,1718,1850,1881,1924,1953,95118
553 S 6th St,San Jose,,3,San Jose,"6 unit Spanish style apartment complex. Perfect for owner occupancy or Investor interested in the quality, charm, and details of well-maintained historic property. Building enjoys city landmark designation. Listed on the Mills Act which lowers the property taxes. This feature stays with the building. This unique building consists of 5 one bedroom/one bathroom units, 6th unit is two bedrooms/one bathroom. Each unit has a front and back door and no shared hallways. Each unit has own electric/gas meters along with separate water heaters, (3 tankless). All units have professionally refinished hardwood floors and bonus room with double French doors. Walk in closets of bedrooms. Upstairs balconies in 2 units. Upgraded electrical services, breaker boxes and meter panel. Copper re-pipe throughout. New sewer line from building to main lines in the street. Earthquake retrofitted. Walking distance of SJSU and downtown San Jose. Close to freeways/public transit and new proposed Google Complex.",,2297000,Multi-Family Home,4090,CA,12783,12569,12176,13012,12568,1922,95112
66 Birch Ln,San Jose,3,5,San Jose,"Great income property in a great location. Close to schools, library, freeways and many conveniences. This wonderful Duplex has many newly upgraded amenities. Front unit - 4 bed/2 bath (Den is being used as 4th bedrm), Rear unit -1 bed/1 bath. 2 car attached garage with 4 parking spaces in driveway. Property is fenced and with fruit bearing trees. Both units are occupied who also pay all utilities. Roof is 3 years old, Both units have recently painted exterior as well as new refrigerators. 10 min. drive to vibrant downtown San Jose and there is a direct bus line in between.",2,1295000,Single Family Home,2035,CA,7408,8209,9256,9375,13382,1946,95127
375 S 17th St,San Jose,2,2,San Jose,"Exquisite Craftsman bungalow tucked into quiet, secluded location within Naglee Park. Spacious center hall entry, light-filled home with nine light Ribbon windows across front facade. French doors open to sunny sitting room, hardwood floors throughout, coved ceiling with recessed lighting, original built ins in dining room, gas fireplace in living room, fabulous newer kitchen, professional Wolf range, custom cabinets, farmhouse sink, main bath fully remodeled, partial basement, ADU fully permitted studio space with separate kitchen and full bath. Gorgeous landscaping, private patio with lush gardens, fully fenced. Newer roof, central heat/a/c",,1250000,Single Family Home,1454,CA,7989,8047,8220,8293,8384,1922,95112
1751 Grace Ave,San Jose,2.5,4,San Jose,"Lovely home in the City of Campbell, mailing address SJ 95125 Master bed/bath with private entrance was added approximately one yr ago and used as a separate unit and rented out for $1700/month Can be either Master or rental unit Hardwood floors, central heat and AC, partial basement, inside laundry room, large lot with beautiful oak tree Close to Whole Foods, Trader Joe's, easy access to 17 & 280 Wonderful neighborhood of updated, newer homes A diamond in the rough",2,1299000,Single Family Home,1555,CA,,,,,,1949,95125
3225 Overbrook Dr,San Jose,2,3,San Jose,"Tastefully updated beauty radiates with pride of ownership! Light, bright, open and airy, designer touches throughout. Inviting curb appeal. Spacious and sunny kitchen with gas range, custom cabinetry, ample storage Breakfast bar and dining area perfect for meals at home or helping with school work. Separate family and living rooms. Recessed can lighting, custom tile, copper plumbing, upgraded electrical, composition roof, central A/C. Oversized corner lot for boat or RV parking. Fantastic Cambrian neighborhood--steps to Paul Moore Park, convenient to schools, commute routes, shopping. Detached outbuilding is ideal for work-from-home office, remote learning space, or hobby/project room. Finished garage space with extra storage. It's a must see!",2,1088000,Single Family Home,1904,CA,9750,7535,7714,7791,7895,1961,95118
1252 Nancarrow Way,San Jose,2,3,San Jose,"A lovely single-story house nestled in the highly desirable Almaden Valley neighborhood. With approximately 1, 737 sqft of living space on a 9, 349 sqft lot you will want to make this cozy elegant house your home. This beautifully designed 3 bedroom and 2 bathroom home greets you with a spacious open living room and French doors leading to the side-yard patio deck. High vaulted ceilings, expansive double-pane windows and skylight make the whole house warm and bright. A fully remodeled kitchen boasts granite counter-tops and back-splash, beautiful cabinets and stainless-steel appliances. The sun-soaked breakfast nook offers a stunning view of the backyard, with a crystal sparkling pool/spa and beautiful mountain views! The location offers top-rated schools including Los Alamitos, Castillero and Pioneer. Convenient access to Almaden Quicksilver County Park, Almaden community center, library, shopping, etc.",2,1398000,Single Family Home,1737,CA,12534,12612,12811,12911,13037,1972,95120
3168 Franela Dr,San Jose,2,3,San Jose,"Beautifully maintained house in a desirable Cambrian neighborhood, this open concept floor plan features a great room, 3 bedrooms, 2 full baths, a newly added family room, and a spacious finished 2 car garage. All complete remodeled works have been done in August 2018 with full permits including complete interior renovation with new kitchen, bathrooms, dual pane windows, tankless water heater, furnace, A/C, wiring, copper pluming, water filtration system, upgraded electric panel, vehicle electric charging, Nest thermostat control, Wemo smart switch, exterior stucco, roof....House is complete with easy drought maintenance front and back yards. Schallenberger Elementary, Willow Glen Middle, and Willow Glen High School.",2,1325000,Single Family Home,1350,CA,1633,1662,1795,1828,14100,1953,95124
4573 Powderborn Ct,San Jose,2.5,3,San Jose,"Desirable Tanglewood Townhome. Featuring a functional space and a bright floorplan, this home enjoys 3 generously sized bedrooms and 2.5 bathrooms, newer appliances, plantation shutters, lots of storage, interior laundry, and inviting floor plan. Enjoy the community olympic size pool, club house, and surrounding green space with matured landscaping. Walking distance to the farmer's market and conveniently located near shopping center, restaurants, public transportation plus easy access to highway 85 and 87.",2,749000,Condo/Townhome/Row Home/Co-Op,1441,CA,1861,1889,2021,2053,2096,1973,95136
6948 Villagewood Way,San Jose,3,4,San Jose,"Gorgeous Almaden Valley Home in a quiet neighborhood! 4 bedroom 3 bathroom. New dual front door. Open floor plan offering plenty of natural light. Ground floor bedroom with full bath. Dramatic vaulted ceiling living room and dinning room. Separate family room with fireplace. Stunning new flooring and fresh paint throughout the house. Dual-pane windows. Central heating. Granite slab countertop. Recessed lighting, crown moldings. Master suite with walk-in closet. Convenient inside laundry. Walking distance to distinguished Almaden Schools. Graystone Elementary, Bret Hart Middle, Leland High. Buyer to cooperate with seller for 1031 exchange. No cost to the buyer.",2,1649800,Single Family Home,2216,CA,16070,16164,16385,16508,16661,1977,95120
175 W Saint James St Unit 605,San Jose,1,1,San Jose,"City Heights Luxury condo, walking distance to San Pedro Square, close to SAP center, lots natural lights, balcony, inside laundry, spacious bedroom with spacious kitchen with granite counter top, fitness facility and business center, perfect for first time home buyers.",1,639000,Condo/Townhome/Row Home/Co-Op,904,CA,5987,6534,6675,6724,6781,2006,95110
4086 Ross Park Dr,San Jose,2,4,San Jose,Wonderful house on private and quiet street in a beautiful neighborhood. The house is ready for you to make your mark and make it your own. The yard would make a great place to gather and welcome guests. Come and see it right away!,2,1250000,Single Family Home,1996,CA,5468,5513,5669,5724,6646,1964,95118
8728 McCarty Ranch Dr,San Jose,2.5,2,San Jose,"Beautiful 2305 sq. ft. condo end unit located in Olivas Village with private back deck to enjoy the view of the hills. Great Oak tree at the entrance.Kitchen has new Bay windows to give you that open look with lots of light Granite kitchen counters pull out drawers and beautiful tile backsplash behind counter and stove. Remodeled bathrooms Granite counter tops double sinks, sky light, Jetted tub. Refaced living room fireplace, family room fireplace has fan to warm room. Carpets in living room and bedrooms rest of the house is laminate oak floors. Electric Golf Cart comes with the condo. Built in's in the garage, 2 car and a separate spot to park the golf cart. New water softner, air conditioner & furnace is 3 years old. Custom curtains and Duet shades. This is a 55+ gated golf community 18 hole course & a par 9 course, tennis, bocce, pickle ball, 50+ clubs to join., Restaurant, bistro, churches, fitness center, library, post office, and much more just like living in a Resort.",2,1125000,Condo/Townhome/Row Home/Co-Op,2305,CA,7889,7992,8387,8526,8590,1996,95135
